,Postcode,Borough,Neighborhood
0,M5A,Downtown Toronto,"Harbourfront,Regent Park"
1,M3H,North York,"Bathurst Manor,Wilson Heights"
2,M4J,East York,East Toronto
3,M1G,Scarborough,Woburn
4,M6J,West Toronto,"Little Portugal,Trinity"
5,M8V,Etobicoke,New Toronto
6,M9V,Etobicoke,"Beaumond Heights,Jamestown,Mount Olive,Silverstone,South Steeles,Thistletown"
7,M1R,Scarborough,"Maryvale,Wexford"
8,M3K,North York,CFB Toronto
9,M6K,West Toronto,"Exhibition Place,Parkdale Village"
10,M2H,North York,Hillcrest Village
11,M3C,North York,Flemingdon Park
12,M2L,North York,York Mills
13,M6L,North York,Downsview
14,M1N,Scarborough,Birch Cliff
15,M6P,West Toronto,High Park
16,M4T,Central Toronto,Moore Park
17,M9L,North York,Humber Summit
18,M4X,Downtown Toronto,"Cabbagetown,St. James Town"
19,M4Y,Downtown Toronto,Church and Wellesley
20,M9R,Etobicoke,Kingsview Village
21,M1X,Scarborough,Upper Rouge
22,M6M,York,"Keelesdale,Mount Dennis,Silverthorn"
23,M8Z,Etobicoke,"Mimico NW,The Queensway West"
24,M5X,Downtown Toronto,"First Canadian Place,Underground city"
25,M1B,Scarborough,"Rouge,Malvern"
26,M4K,East Toronto,Riverdale
27,M8Y,Etobicoke,"Humber Bay,Mimico NE,Old Mill South,The Queensway East,Royal York South East,Sunnylea"
28,M1K,Scarborough,"Ionview,Kennedy Park"
29,M3A,North York,Parkwoods
30,M3J,North York,"Northwood Park,York University"
31,M3L,North York,Downsview West
32,M1S,Scarborough,Agincourt
33,M5S,Downtown Toronto,University of Toronto
34,M5E,Downtown Toronto,Berczy Park
35,M4L,East Toronto,India Bazaar
36,M1L,Scarborough,"Clairlea,Golden Mile,Oakridge"
37,M1T,Scarborough,Tam O'Shanter
38,M5T,Downtown Toronto,"Chinatown,Grange Park,Kensington Market"
39,M5L,Downtown Toronto,Commerce Court
40,M1V,Scarborough,"Agincourt North,Milliken"
41,M4W,Downtown Toronto,Rosedale
42,M4H,East York,Thorncliffe Park
43,M4V,Central Toronto,"Deer Park,Rathnelly,South Hill"
44,M9A,Etobicoke,Islington Avenue
45,M9C,Etobicoke,Markland Wood
46,M1J,Scarborough,Scarborough Village
47,M4B,East York,"Woodbine Gardens,Parkview Hill"
48,M2J,North York,Henry Farm
49,M4G,East York,Leaside
50,M6A,North York,"Lawrence Heights,Lawrence Manor"
51,M4E,East Toronto,The Beaches
52,M9M,North York,"Emery,Humberlea"
53,M5P,Central Toronto,Forest Hill North
54,M8X,Etobicoke,The Kingsway
55,M6R,West Toronto,"Parkdale,Roncesvalles"
56,M1C,Scarborough,"Highland Creek,Rouge Hill,Port Union"
57,M1M,Scarborough,"Cliffcrest,Cliffside"
58,M5C,Downtown Toronto,St. James Town
59,M1E,Scarborough,"Morningside,West Hill"
60,M5M,North York,Bedford Park
61,M2K,North York,Bayview Village
62,M4C,East York,Woodbine Heights
63,M5V,Downtown Toronto,"CN Tower,King and Spadina,Railway Lands,South Niagara"
64,M5J,Downtown Toronto,"Toronto Islands,Union Station"
65,M2M,North York,"Newtonbrook,Willowdale"
66,M4N,Central Toronto,Lawrence Park
67,M9B,Etobicoke,"Islington,Princess Gardens,West Deane Park"
68,M9N,York,Weston
69,M2R,North York,Willowdale West
70,M5R,Central Toronto,"The Annex,Yorkville"
71,M8W,Etobicoke,"Alderwood,Long Branch"
72,M6H,West Toronto,Dovercourt Village
73,M5K,Downtown Toronto,"Design Exchange,Toronto Dominion Centre"
74,M6S,West Toronto,"Runnymede,Swansea"
75,M1P,Scarborough,"Dorset Park,Scarborough Town Centre,Wexford Heights"
76,M4A,North York,Victoria Village
